Name,Author,Rating,Format,Price
"Into the Abyss: An Extraordinary True Story by Shaben, Carol (2014) Paperback",Carol Shaben,4.3,Paperback,$11.89
"When the Moon Turns to Blood: Lori Vallow, Chad Daybell, and a Story of Murder, Wild Faith, and End Times",Leah Sottile,4.1,Kindle Edition,$15.99
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.3,Kindle Edition,$0.00
The Pale-Faced Lie: A True Story,David Crow,4.5,Paperback,$13.49
"The Earth Is All That Lasts: Crazy Horse, Sitting Bull, and the Last Stand of the Great Sioux Nation",Mark Lee Gardner,4.6,Hardcover,$17.89
"Into the Abyss: An Extraordinary True Story by Shaben, Carol (2014) Paperback",Carol Shaben,4.3,Paperback,$11.89
"River of the Gods: Genius, Courage, and Betrayal in the Search for the Source of the Nile",Audible Audiobook,$0.00
Pictured Life: And True Stories from Northern and Upper Michigan,Kindle Edition,$2.99
Spare (Random House Large Print),Paperback,$22.99
"The Nazi Conspiracy: The Secret Plot to Kill Roosevelt, Stalin, and Churchill",Brad Meltzer,4.5,Hardcover,$18.07
Bloody Martini: A Felonious Monk Mystery (The Felonious Monk Mysteries Book 2),Book 2 of 2: The Felonious Monk Mysteries ,4.1,Kindle Edition,$8.99
Criminal Atonement: The True life story of one of America's Most Wanted Criminals,Harold Andrus,4.8,Paperback,$14.99
The Courage to Be Free: Florida's Blueprint for America's Revival,Ron DeSantis,4.6,Hardcover,$21.41
Breaking Midnight: A True Story,Lynn Walker,4.5,Kindle Edition,$0.00
Never Give an Inch: Fighting for the America I Love,Mike Pompeo,4.7,Hardcover,$20.04
Behave: The Biology of Humans at Our Best and Worst,Audible Audiobook,$0.00
Where the Crawdads Sing,Audible Audiobook,$0.00
"Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present (The Path to Calm)",Book 1 of 12: The Path to Calm ,4.5,Paperback,$14.59
"One Man's Wilderness, 50th Anniversary Edition: An Alaskan Odyssey",Sam Keith,4.8,Paperback,$17.99
"Butcher, Biter, Spy: A True Story of Madness, Mutilation and Unspeakable Acts of Brutality (True Crime)",Part of: True Crime (26 books) ,4.5,Paperback,$11.99
"Don't Waste This Storm: Hope-Filled Thriving, Not Just Barely Surviving, in the Storms of Life",Kindle Edition,$5.99
Recipes for a Sacred Life: True Stories and a Few Miracles,Rivvy Neshama,4.4,Paperback,$15.38
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.3,Paperback,$11.99
The Family Across the Street: A totally unputdownable psychological thriller with a shocking twist,Nicole Trope,4.2,Paperback,$9.89
